SL No.,Heat Flux,Submergence,Distance,Temperature
1,6995,100,0.05,79.347
2,6995,100,0.15,81.047
3,6995,100,0.3,85.147
4,6995,100,0.5,90.247
5,14030,100,0.05,84.893
6,14030,100,0.15,87.593
7,14030,100,0.5,91.093
8,14030,100,0.6,93.793
9,20934,100,0.05,96.245
10,20934,100,0.1,98.545
11,20934,100,0.2,101.14
12,20934,100,0.5,104.84
13,28103,100,0.05,101.48
14,28103,100,0.1,105.88
15,28103,100,0.3,110.78
16,28103,100,0.7,112.08
17,34660,100,0.05,107.65
18,34660,100,0.2,114.45
19,34660,100,0.6,119.85
20,34660,100,0.9,122.85
21,39470,100,0.05,107.81
22,39470,100,0.15,112.91
23,39470,100,0.2,115.31
24,39470,100,0.6,122.11
25,14271,75,0.05,103.98
26,14271,75,0.1,106.48
27,14271,75,0.3,108.88
28,14271,75,0.7,112.28
29,20926,75,0.1,108.44
30,20926,75,0.6,114.74
31,20926,75,0.8,115.94
32,20926,75,1.2,105.74
33,28123,75,0.05,110.08
34,28123,75,0.3,117.98
35,28123,75,0.6,120.78
36,28123,75,1.85,105.48
37,34753,75,0.05,111.95
38,34753,75,0.1,114.65
39,34753,75,0.5,122.15
40,34753,75,1,114.55
41,39400,75,0.05,115.31
42,39400,75,0.2,124.71
43,39400,75,0.3,125.61
44,39400,75,0.7,122.81
45,14104,50,0.05,104.19
46,14104,50,0.2,107.79
47,14104,50,0.7,104.29
48,14104,50,1.5,103.09
49,20901,50,0.05,110.15
50,20901,50,0.3,115.75
51,20901,50,0.7,105.35
52,20901,50,0.9,104.95
53,28172,50,0.1,115.08
54,28172,50,0.15,117.08
55,28172,50,0.3,117.88
56,28172,50,0.5,114.38
57,34873,50,0.05,115.34
58,34873,50,0.15,119.84
59,34873,50,0.2,121.04
60,34873,50,0.7,107.54
61,39620,50,0.05,115.9
62,39620,50,0.1,118.6
63,39620,50,0.15,120.6
64,39620,50,0.3,123.5
65,20910,30,0.05,108.15
66,20910,30,0.2,104.35
67,20910,30,0.5,103.05
68,20910,30,1.1,102.35
69,27981,30,0.05,113.49
70,27981,30,0.2,104.89
71,27981,30,0.6,103.99
72,27981,30,1.1,103.39
73,34829,30,0.05,119.64
74,34829,30,0.1,118.74
75,34829,30,0.15,110.74
76,34829,30,0.5,104.94
77,39620,30,0.05,120.4
78,39620,30,0.15,111.3
79,39620,30,0.3,105.6
80,39620,30,0.8,104.8
